ACT,POE\PLAYER_PASS\PLAYER_PASS.GB,IN,10,14,Read,,BOOL,,,VAR_INPUT,LOCAL,,,
ACT,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,BOOL,,,VAR_INPUT,DEFINITION,,,
BACK_KICK_RANGE,POE\PLAYER_PASS\PLAYER_PASS.GB,IN,18,83,Read,,LREAL,,,VAR_INPUT,LOCAL,,,
BACK_KICK_RANGE,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,LREAL,,,VAR_INPUT,DEFINITION,,,
FRONT_KICK_RANGE,POE\PLAYER_PASS\PLAYER_PASS.GB,IN,22,81,Read,,LREAL,,,VAR_INPUT,LOCAL,,,
FRONT_KICK_RANGE,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,LREAL,,,VAR_INPUT,DEFINITION,,,
MAX_PLAYER_TRANS,POE\PLAYER_PASS\PLAYER_PASS.GB,IN,26,0,Read,,LREAL,,,VAR_INPUT,LOCAL,,,
MAX_PLAYER_TRANS,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,LREAL,,,VAR_INPUT,DEFINITION,,,
PLAYER_POS,POE\PLAYER_PASS\PLAYER_PASS.GB,IN,14,88,Read,,LREAL,,,VAR_INPUT,LOCAL,,,
PLAYER_POS,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,LREAL,,,VAR_INPUT,DEFINITION,,,
PLAYER_ROD_TRANS,POE\PLAYER_PASS\PLAYER_PASS.GB,,3,23,Call,,SINGLE_ROD_TRANSLATION,,,VAR,FB,,,
PLAYER_ROD_TRANS,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,SINGLE_ROD_TRANSLATION,,,VAR,DEFINITION,,,
PLAYER_ROT,POE\PLAYER_PASS\PLAYER_PASS.GB,IN,6,88,Read,,AXIS_REF,,,VAR_INPUT,LOCAL,,,
PLAYER_ROT,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,AXIS_REF,,,VAR_INPUT,DEFINITION,,,
PLAYER_SWING,POE\PLAYER_PASS\PLAYER_PASS.GB,,3,104,Call,,PLAYER_SWING,,,VAR,FB,,,
PLAYER_SWING,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,PLAYER_SWING,,,VAR,DEFINITION,,,
PLAYER_TRANS,POE\PLAYER_PASS\PLAYER_PASS.GB,IN,6,5,Read,,AXIS_REF,,,VAR_INPUT,LOCAL,,,
PLAYER_TRANS,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,AXIS_REF,,,VAR_INPUT,DEFINITION,,,
SWING_NOW,POE\PLAYER_PASS\PLAYER_PASS.GB,IN,35,70,Read,-|/|-,BOOL,,,VAR_INPUT,LOCAL,,,
SWING_NOW,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,BOOL,,,VAR_INPUT,DEFINITION,,,
TRANS_ACCEL,POE\PLAYER_PASS\PLAYER_PASS.GB,IN,22,6,Read,,LREAL,,,VAR_EXTERNAL,GLOBAL,,,
TRANS_ACCEL,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,,
TRANS_VELOCITY,POE\PLAYER_PASS\PLAYER_PASS.GB,IN,18,2,Read,,LREAL,,,VAR_EXTERNAL,GLOBAL,,,
TRANS_VELOCITY,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,LREAL,,,VAR_EXTERNAL,DEFINITION,,,
X_POS,POE\PLAYER_PASS\PLAYER_PASS.GB,IN,10,93,Read,,LREAL,,,VAR_INPUT,LOCAL,,,
X_POS,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,LREAL,,,VAR_INPUT,DEFINITION,,,
Y_POS,POE\PLAYER_PASS\PLAYER_PASS.GB,IN,14,12,Read,,LREAL,,,VAR_INPUT,LOCAL,,,
Y_POS,POE\PLAYER_PASS\PLAYER_PASSV.VB,,,,,,LREAL,,,VAR_INPUT,DEFINITION,,,
